name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
rtc.hour,82,,1,uint8_t,The hours in decimal,1,,,,,,,,
rtc.day_of_month,83,,1,uint8_t,The months in decimal,1,,,,,,,,
rtc.day_of_week,84,,1,uint8_t,The week in decimal,1,,,,,,,,
rtc.month,85,,1,uint8_t,The month in decimal,1,,,,,,,,
rtc.year,86,,1,uint8_t,The last two digits of the year in decimal (20xx),1,,,,,,,,
rtc.res,87,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
adc[0].mode,88,,1,uint8_t,,1,,,,,,,,
adc[0].error_code,89,,2,uint16_t,,1,,,,,,,,
adc[0].sample_rate,91,,1,uint8_t,,1,,,,,,,,
adc[0].value,92,,4,uint32_t,,1,,,,,,,,
adc[0].res,96,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
adc[1].mode,104,,1,uint8_t,,1,,,,,,,,
adc[1].error_code,105,,2,uint16_t,,1,,,,,,,,
adc[1].sample_rate,107,,1,uint8_t,,1,,,,,,,,
adc[1].value,108,,4,uint32_t,,1,,,,,,,,
adc[1].res,112,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
pwm.mode,120,,1,uint8_t,,1,,,,,,,,
pwm.error_code,121,,2,uint16_t,,1,,,,,,,,
pwm.duty,123,,1,uint8_t,,1,,,,,,,,
pwm.freq,124,,4,uint32_t,,1,,,,,,,,
pwm.res,128,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
tmr.mode,136,,1,uint8_t,,1,,,,,,,,
tmr.error_code,137,,2,uint16_t,,1,,,,,,,,
tmr.duty,139,,1,uint8_t,,1,,,,,,,,
tmr.freq,140,,4,uint32_t,,1,,,,,,,,
tmr.hi_us,144,,4,uint32_t,,1,,,,,,,,
tmr.lo_us,148,,4,uint32_t,,1,,,,,,,,
user_reg,152,64,1,uint8_t,Writable registers for user testing,3,64,,,,,,,
res,216,40,1,uint8_t,Reserved bytes,0,40,,,,,,,
