name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
adc[0].res,400,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
adc[1].mode,408,,1,uint8_t,,1,,,,,,,,
adc[1].error_code,409,,2,uint16_t,,1,,,,,,,,
adc[1].sample_rate,411,,1,uint8_t,,1,,,,,,,,
adc[1].value,412,,4,uint32_t,,1,,,,,,,,
adc[1].res,416,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
pwm.mode,424,,1,uint8_t,,1,,,,,,,,
pwm.error_code,425,,2,uint16_t,,1,,,,,,,,
pwm.duty,427,,1,uint8_t,,1,,,,,,,,
pwm.freq,428,,4,uint32_t,,1,,,,,,,,
pwm.res,432,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
tmr.mode,440,,1,uint8_t,,1,,,,,,,,
tmr.error_code,441,,2,uint16_t,,1,,,,,,,,
tmr.duty,443,,1,uint8_t,,1,,,,,,,,
tmr.freq,444,,4,uint32_t,,1,,,,,,,,
tmr.hi_us,448,,4,uint32_t,,1,,,,,,,,
tmr.lo_us,452,,4,uint32_t,,1,,,,,,,,
res,456,568,1,uint8_t,Reserved bytes,0,568,,,,,,,
