name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
uart.res,412,4,1,uint8_t,Reserved bytes,0,4,,,,,,,
rtc.second,416,,1,uint8_t,The seconds in decimal,1,,,,,,,,
rtc.minute,417,,1,uint8_t,The minutes in decimal,1,,,,,,,,
rtc.hour,418,,1,uint8_t,The hours in decimal,1,,,,,,,,
rtc.day_of_month,419,,1,uint8_t,The months in decimal,1,,,,,,,,
rtc.day_of_week,420,,1,uint8_t,The week in decimal,1,,,,,,,,
rtc.month,421,,1,uint8_t,The month in decimal,1,,,,,,,,
rtc.year,422,,1,uint8_t,The last two digits of the year in decimal (20xx),1,,,,,,,,
rtc.res,423,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
adc[0].mode,424,,1,uint8_t,,1,,,,,,,,
adc[0].error_code,425,,2,uint16_t,,1,,,,,,,,
adc[0].sample_rate,427,,1,uint8_t,,1,,,,,,,,
adc[0].value,428,,4,uint32_t,,1,,,,,,,,
adc[0].res,432,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
adc[1].mode,440,,1,uint8_t,,1,,,,,,,,
adc[1].error_code,441,,2,uint16_t,,1,,,,,,,,
adc[1].sample_rate,443,,1,uint8_t,,1,,,,,,,,
adc[1].value,444,,4,uint32_t,,1,,,,,,,,
adc[1].res,448,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
pwm.mode,456,,1,uint8_t,,1,,,,,,,,
pwm.error_code,457,,2,uint16_t,,1,,,,,,,,
pwm.duty,459,,1,uint8_t,,1,,,,,,,,
pwm.freq,460,,4,uint32_t,,1,,,,,,,,
pwm.res,464,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
tmr.mode,472,,1,uint8_t,,1,,,,,,,,
tmr.error_code,473,,2,uint16_t,,1,,,,,,,,
tmr.duty,475,,1,uint8_t,,1,,,,,,,,
tmr.freq,476,,4,uint32_t,,1,,,,,,,,
tmr.hi_us,480,,4,uint32_t,,1,,,,,,,,
tmr.lo_us,484,,4,uint32_t,,1,,,,,,,,
res,488,536,1,uint8_t,Reserved bytes,0,536,,,,,,,
