name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
spi.reg_index,388,,2,uint16_t,current index of i2c pointer,0,,,,,,,,
spi.start_reg_index,390,,2,uint16_t,start index of i2c pointer,0,,,,,,,,
spi.r_count,392,,1,uint8_t,Last read frame byte count,0,,,,,,,,
spi.w_count,393,,1,uint8_t,Last write frame byte count,0,,,,,,,,
spi.transfer_count,394,,1,uint8_t,The amount of bytes in the last transfer ,0,,,,,,,,
spi.frame_ticks,395,,4,uint32_t,Ticks per frame,0,,,,,,,,
spi.byte_ticks,399,,4,uint32_t,Ticks per byte,0,,,,,,,,
spi.prev_ticks,403,,4,uint32_t,Holder for previous byte ticks,0,,,,,,,,
spi.res,407,9,1,uint8_t,Reserved bytes,0,9,,,,,,,
uart.mode,416,,2,uart_mode_t,Test mode,1,,,,,,,,
uart.mode.init,416,,2,,initialize with new params,1,,0,1,,,,,
uart.mode.disable,416,,2,,disable uart functionality,1,,1,1,,,,,
uart.mode.if_type,416,,2,,interface mode/echo/etc.,1,,2,2,,,,,
uart.mode.stop_bits,416,,2,,Number of stop bits,1,,4,1,,,,,
uart.mode.parity,416,,2,,Parity,1,,5,2,,,,,
uart.mode.rts,416,,2,,RTS pin state,1,,7,1,,,,,
uart.mode.data_bits,416,,2,,Number of data bits,1,,8,1,,,,,
uart.baud,418,,4,uint32_t,Baudrate,1,,,,,,,,
uart.mask_msb,422,,1,uint8_t,Baudrate,0,,,,,,,,
uart.rx_count,423,,2,uint16_t,Number of received bytes,0,,,,,,,,
uart.tx_count,425,,2,uint16_t,Number of transmitted bytes,0,,,,,,,,
uart.status,427,,1,uart_status_t,UART status register,0,,,,,,,,
uart.status.cts,427,,1,,CTS pin state,0,,0,1,,,,,
uart.status.pe,427,,1,,Parity error,0,,1,1,,,,,
uart.status.fe,427,,1,,Framing error,0,,2,1,,,,,
uart.status.nf,427,,1,,Noise detected flag,0,,3,1,,,,,
uart.status.ore,427,,1,,Overrun error,0,,4,1,,,,,
uart.res,428,4,1,uint8_t,Reserved bytes,0,4,,,,,,,
rtc.second,432,,1,uint8_t,The seconds in decimal,1,,,,,,,,
rtc.minute,433,,1,uint8_t,The minutes in decimal,1,,,,,,,,
rtc.hour,434,,1,uint8_t,The hours in decimal,1,,,,,,,,
rtc.day_of_month,435,,1,uint8_t,The months in decimal,1,,,,,,,,
rtc.day_of_week,436,,1,uint8_t,The week in decimal,1,,,,,,,,
rtc.month,437,,1,uint8_t,The month in decimal,1,,,,,,,,
rtc.year,438,,1,uint8_t,The last two digits of the year in decimal (20xx),1,,,,,,,,
rtc.res,439,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
adc[0].mode,440,,1,uint8_t,,1,,,,,,,,
adc[0].error_code,441,,2,uint16_t,,1,,,,,,,,
adc[0].sample_rate,443,,1,uint8_t,,1,,,,,,,,
adc[0].value,444,,4,uint32_t,,1,,,,,,,,
adc[0].res,448,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
adc[1].mode,456,,1,uint8_t,,1,,,,,,,,
adc[1].error_code,457,,2,uint16_t,,1,,,,,,,,
adc[1].sample_rate,459,,1,uint8_t,,1,,,,,,,,
adc[1].value,460,,4,uint32_t,,1,,,,,,,,
adc[1].res,464,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
pwm.mode,472,,1,uint8_t,,1,,,,,,,,
pwm.error_code,473,,2,uint16_t,,1,,,,,,,,
pwm.duty,475,,1,uint8_t,,1,,,,,,,,
pwm.freq,476,,4,uint32_t,,1,,,,,,,,
pwm.res,480,8,1,uint8_t,Reserved bytes,0,8,,,,,,,
tmr.mode,488,,1,uint8_t,,1,,,,,,,,
tmr.error_code,489,,2,uint16_t,,1,,,,,,,,
tmr.duty,491,,1,uint8_t,,1,,,,,,,,
tmr.freq,492,,4,uint32_t,,1,,,,,,,,
tmr.hi_us,496,,4,uint32_t,,1,,,,,,,,
tmr.lo_us,500,,4,uint32_t,,1,,,,,,,,
gpio[0].mode,504,,2,gpio_mode_t,,0,,,,,,,,
gpio[0].mode.init,504,,2,,initialize with new params,1,,0,1,,,,,
gpio[0].mode.io_type,504,,2,,direction of io"," out0/out1/in/int,1,,1,2,,,,,
gpio[0].mode.level,504,,2,,0 for low"," 1 for high"," only if output,1,,3,1,,,,,
gpio[0].mode.pull,504,,2,,pull of the resistor up/down/none,1,,4,2,,,,,
gpio[0].mode.tick_div,504,,2,,for trace tick divisor,1,,6,5,,,,,
gpio[0].status,506,,1,gpio_status_t,,0,,,,,,,,
gpio[0].status.level,506,,1,,The io level of the pin"," 0=low"," 1=high,1,,0,1,,,,,
gpio[0].res,507,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
gpio[1].mode,508,,2,gpio_mode_t,,0,,,,,,,,
gpio[1].mode.init,508,,2,,initialize with new params,1,,0,1,,,,,
gpio[1].mode.io_type,508,,2,,direction of io"," out0/out1/in/int,1,,1,2,,,,,
gpio[1].mode.level,508,,2,,0 for low"," 1 for high"," only if output,1,,3,1,,,,,
gpio[1].mode.pull,508,,2,,pull of the resistor up/down/none,1,,4,2,,,,,
gpio[1].mode.tick_div,508,,2,,for trace tick divisor,1,,6,5,,,,,
gpio[1].status,510,,1,gpio_status_t,,0,,,,,,,,
gpio[1].status.level,510,,1,,The io level of the pin"," 0=low"," 1=high,1,,0,1,,,,,
gpio[1].res,511,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
gpio[2].mode,512,,2,gpio_mode_t,,0,,,,,,,,
gpio[2].mode.init,512,,2,,initialize with new params,1,,0,1,,,,,
gpio[2].mode.io_type,512,,2,,direction of io"," out0/out1/in/int,1,,1,2,,,,,
gpio[2].mode.level,512,,2,,0 for low"," 1 for high"," only if output,1,,3,1,,,,,
gpio[2].mode.pull,512,,2,,pull of the resistor up/down/none,1,,4,2,,,,,
gpio[2].mode.tick_div,512,,2,,for trace tick divisor,1,,6,5,,,,,
gpio[2].status,514,,1,gpio_status_t,,0,,,,,,,,
gpio[2].status.level,514,,1,,The io level of the pin"," 0=low"," 1=high,1,,0,1,,,,,
gpio[2].res,515,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
trace.index,516,,4,uint32_t,Index of the current trace,0,,,,,,,,
trace.tick_div,520,32,1,uint8_t,The tick divisor of the event,0,32,,,,,,,
trace.source,552,32,1,uint8_t,The event source of the event,0,32,,,,,,,
trace.value,584,64,2,uint16_t,The value of the event,0,32,,,,,,,
trace.tick,648,128,4,uint32_t,The tick when the event occured,0,32,,,,,,,
res,776,248,1,uint8_t,Reserved bytes,0,248,,,,,,,
